# SUFFIX,                         killed?
# 
nl_Lz2pi_Rm5e3_seed3,           True
nl_Lz2pi_Rm5e3_seed2,           IDK
nl_Lz2pi_Rm5e3_seed4,           True
nl_Lz2pi_Rm5e3_seed5,           True
nl_Lz2pi_Rm5e3_seed6,           False
nl_Lz2pi_Rm5e3_seed6_RSTRT1,    True
nl_Lz2pi_Rm5e3_seed7,           True
nl_Lz2pi_Rm5e3_seed8,           True
nl_Lz2pi_Rm5e3_seed9,           False
nl_Lz2pi_Rm5e3_seed9_RSTRT1,    True
nl_Lz2pi_Rm5e3_seed10,          True
nl_Lz2pi_Rm5e3_seed11,          False
nl_Lz2pi_Rm5e3_seed11_RSTRT1,   False
nl_Lz2pi_Rm5e3_seed12,          IDK
nl_Lz2pi_Rm5e3_seed13,          IDK
nl_Lz2pi_Rm5e3_seed13_RSTRT1,   IDK
nl_Lz2pi_Rm5e3_seed14,          IDK
nl_Lz2pi_Rm5e3_seed15,          IDK
nl_Lz2pi_Rm5e3_seed16,          IDK
nl_Lz2pi_Rm5e3_seed17,          IDK
nl_Lz2pi_Rm5e3_seed18,          IDK
nl_Lz2pi_Rm5e3_seed18_RSTRT1,   IDK
nl_Lz2pi_Rm5e3_seed19,          IDK
nl_Lz2pi_Rm5e3_seed20,          IDK
nl_Lz2pi_Rm5e3_seed21,          IDK
nl_Lz2pi_Rm5e3_seed22,          IDK
nl_Lz2pi_Rm5e3_seed23,          IDK
nl_Lz2pi_Rm5e3_seed23_RSTRT1,   IDK
nl_Lz2pi_Rm5e3_seed23_RSTRT2,   IDK
nl_Lz2pi_Rm5e3_seed23_RSTRT3,   IDK
nl_Lz2pi_Rm5e3_seed24,          IDK
nl_Lz2pi_Rm5e3_seed25,          IDK
nl_Lz2pi_Rm5e3_seed26,          IDK
nl_Lz2pi_Rm5e3_seed26_RSTRT1,   IDK
nl_Lz2pi_Rm5e3_seed27,          IDK
nl_Lz2pi_Rm5e3_seed28,          IDK
nl_Lz2pi_Rm5e3_seed29,          IDK
nl_Lz2pi_Rm5e3_seed29_RSTRT1,   IDK
nl_Lz2pi_Rm5e3_seed29_RSTRT2,   IDK
nl_Lz2pi_Rm5e3_seed30,          IDK
nl_Lz2pi_Rm5e3_seed31,          IDK
