floquet_kin_ky0p18_Rm1p5e4     size=8.4G     files=9406
floquet_kin_ky0p18_Rm1p5e4_oneperiod size=13G      files=483
floquet-Rm1500                 size=1.9G     files=40
floquet-Rm1500-2               size=3.8G     files=71
floquet-Rm1500-oneperiod       size=6.2G     files=245
floquet-Rm1e3                  size=13M      files=21
floquet-Rm3e3                  size=6.1M     files=8
freeze-velocity                size=3.8G     files=67
ftle                           size=20G      files=34
hydro                          size=56M      files=49
hydro4                         size=15M      files=19
hydro_Lz8p5pi_RSTRT1           size=514K     files=3
hydro_Ro10_Ny16_loadfromtwo    size=4.8G     files=1242
hydro_Ro1p5_Re150_Ny16         size=3.0G     files=546
hydro_Ro1p5_Re150_Ny16_loadfromtwo size=7.6G     files=1434
hydro_Ro2                      size=15G      files=11708
hydro_Ro3_Re150_Ny16           size=7.9G     files=2038
hydro_Ro3_Re150_Ny16_loadfromtwo size=5.7G     files=1308
hydro_Ro5_Ny16_loadfromtwo     size=14G      files=60
hydro_Roinf_Ny16_loadfromtwo   size=40G      files=10143
hydro_seed4_amp1en2            size=36M      files=32
hydro_seed4_amp4en2            size=36M      files=32
hydro_seed5_amp1en3            size=36M      files=32
hydro_seed5_amp4en2            size=36M      files=32
kin_ky0p18_Rm1p0e2             size=17G      files=245
kin_ky0p18_Rm1p0e3             size=17G      files=245
kin_ky0p18_Rm1p0e4             size=17G      files=245
kin_ky0p18_Rm1p0e5             size=62G      files=245
kin_ky0p18_Rm1p0e5_RSTRT1      size=390M     files=33
kin_ky0p18_Rm1p0e6             size=12G      files=83
kin_ky0p18_Rm1p0e6_RSTRT1      size=5.1G     files=14
kin_ky0p18_Rm1p5e2             size=68G      files=959
kin_ky0p18_Rm1p5e3             size=59G      files=28181
kin_ky0p18_Rm1p5e3_PLOT        size=903M     files=264
kin_ky0p18_Rm1p5e3_SAT         size=112M     files=49
kin_ky0p18_Rm1p5e4             size=26G      files=52169
kin_ky0p18_Rm1p5e4_RSTRT1      size=65G      files=245
kin_ky0p18_Rm1p5e5             size=14G      files=18212
kin_ky0p18_Rm1p5e5_PLOT        size=14G      files=264
kin_ky0p18_Rm1p5e5_PLOT_RSTRT1 size=55G      files=264
kin_ky0p18_Rm1p5e5_RSTRT1      size=172G     files=59
kin_ky0p18_Rm1p5e6             size=6.0G     files=15
kin_ky0p18_Rm1p5e6_RSTRT1      size=322G     files=34
kin_ky0p18_Rm2p2e1             size=17G      files=245
kin_ky0p18_Rm2p2e2             size=17G      files=245
kin_ky0p18_Rm2p2e3             size=17G      files=245
kin_ky0p18_Rm2p2e4             size=62G      files=245
kin_ky0p18_Rm2p2e5             size=82G      files=34
kin_ky0p18_Rm2p2e5_RSTRT1      size=7.7G     files=17
kin_ky0p18_Rm2p2e6             size=7.4G     files=1353
kin_ky0p18_Rm2p2e6_RSTRT1      size=332G     files=35
kin_ky0p18_Rm3p2e1             size=17G      files=245
